Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama,Şehir
2024,Ocak,10,2024-01-10,Ulaşım,300.25,Restoran,Cafe,İstanbul
2024,Ocak,16,2024-01-16,Fatura Ödemesi,107.05,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,4,2024-01-04,Alışveriş,419.35,Ulaşım,Taksi,Ankara
2024,Ocak,14,2024-01-14,Alışveriş,177.07,ATM,ATM Çekimi,İzmir
2024,Ocak,1,2024-01-01,Alışveriş,89.08,ATM,ATM Çekimi,İstanbul
2024,Ocak,10,2024-01-10,Ulaşım,45.63,Restoran,Pizza,Ankara
2024,Ocak,8,2024-01-08,Ulaşım,56.23,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,23,2024-01-23,ATM Çekimi,329.18,Market,Migros,Ankara
2024,Ocak,30,2024-01-30,Alışveriş,372.44,ATM,ATM Çekimi,İzmir
2024,Ocak,18,2024-01-18,Restoran,89.25,ATM,ATM Çekimi,İzmir
2024,Ocak,18,2024-01-18,Fatura Ödemesi,16.85,ATM,ATM Çekimi,İzmir
2024,Ocak,4,2024-01-04,Fatura Ödemesi,12.71,Ulaşım,Taksi,İzmir
2024,Ocak,11,2024-01-11,Restoran,363.96,Market,Migros,Ankara
2024,Ocak,26,2024-01-26,Fatura Ödemesi,241.48,Restoran,Pizza,İzmir
2024,Ocak,3,2024-01-03,ATM Çekimi,225.36,Market,BIM,Ankara
2024,Ocak,21,2024-01-21,Restoran,270.07,Market,Migros,İstanbul
2024,Ocak,1,2024-01-01,ATM Çekimi,362.27,Ulaşım,Tren,İzmir
2024,Ocak,4,2024-01-04,Restoran,360.32,Ulaşım,Taksi,İzmir
2024,Ocak,7,2024-01-07,Fatura Ödemesi,460.49,ATM,ATM Çekimi,İzmir
2024,Ocak,27,2024-01-27,Fatura Ödemesi,418.75,Ulaşım,Tren,İzmir
2024,Ocak,6,2024-01-06,Fatura Ödemesi,150.59,Market,Migros,İzmir
2024,Ocak,27,2024-01-27,ATM Çekimi,193.76,ATM,ATM Çekimi,Ankara
2024,Ocak,20,2024-01-20,Alışveriş,96.66,Fatura Ödemesi,İnternet,İstanbul
2024,Ocak,22,2024-01-22,Ulaşım,180.15,ATM,ATM Çekimi,İstanbul
2024,Ocak,16,2024-01-16,ATM Çekimi,351.24,Ulaşım,Tren,İzmir
