Yıl,Ay,Gün,Tarih,Saat,İşlem Türü,Harcama Kategorisi,Şehir,Tutar
2022,Kasım,17,2022-11-17,11:32,Ulaşım,Benzin,İstanbul,50.03
2023,Kasım,14,2023-11-06,14:25,Fatura,Su,İstanbul,52.5
2024,Şubat,23,2024-02-23,10:02,Giyim,LC Waikiki,İstanbul,126.92
2023,Eylül,27,2023-09-27,14:47,Restoran,Kebap,Ankara,181.47
2023,Ağustos,25,2023-08-28,14:49,Fatura,Elektrik,Ankara,105.0
2023,Haziran,19,2023-06-19,14:03,Ulaşım,Taksi,İstanbul,257.26
2022,Aralık,5,2022-12-05,13:49,Restoran,Pizza,Ankara,164.45
2023,Aralık,8,2023-12-08,12:20,Restoran,Pizza,İzmir,46.5
2022,Mart,8,2022-03-27,20:26,Fatura,Elektrik,İzmir,110.0
2022,Kasım,13,2022-11-26,05:22,Fatura,Elektrik,İstanbul,110.0
2024,Şubat,25,2024-02-25,01:29,Ulaşım,Taksi,İstanbul,174.35
2022,Ağustos,13,2022-08-26,07:41,Fatura,Elektrik,İzmir,110.0
2022,Aralık,4,2022-12-04,12:40,Giyim,H&M,İzmir,96.48
2024,Mart,16,2024-03-14,06:34,Fatura,Su,Ankara,50.0
2023,Temmuz,23,2023-07-23,22:54,Ulaşım,Taksi,İzmir,22.77
2024,Haziran,24,2024-06-14,02:15,Fatura,Su,Ankara,50.0
2022,Nisan,8,2022-04-08,12:22,Restoran,Pizza,İstanbul,163.26
2022,Mayıs,17,2022-05-17,13:20,Restoran,Pizza,İstanbul,96.23
2024,Nisan,24,2024-04-23,00:55,Fatura,Elektrik,Ankara,100.0
2022,Eylül,1,2022-09-01,13:56,Restoran,Fast Food,Ankara,140.13
2024,Nisan,24,2024-04-24,21:15,Fatura,Su,Ankara,50.0
2024,Mayıs,7,2024-05-27,22:03,Fatura,İnternet,Ankara,80.0
2022,Ağustos,20,2022-08-20,21:08,Ulaşım,Taksi,Ankara,494.46
